0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
l8ugp31t,Croft,Michael,35802,6,18,Lost 1-2,natca00,1518.55,1500.51,wzvyq28p,"Honaus, Finn",1516.22,,2000-06-30,False,2000 Canada National Championship,http://web.archive.org/web/20130511072638/http://www.wizards.com/sideboard/article.asp?x=CANNAT00/welcome,national,mixed
l8ugp31t,Croft,Michael,35832,7,15,Won 2-1,natca00,1500.51,1518.22,iowbefae,"Underhill, Shawn",1484.88,,2000-06-30,False,2000 Canada National Championship,http://web.archive.org/web/20130511072638/http://www.wizards.com/sideboard/article.asp?x=CANNAT00/welcome,national,mixed
l8ugp31t,Croft,Michael,35863,8,15,Lost 0-2,natca00,1518.22,1500.08,olz6ejsz,"Spencer, Garath",1510.49,,2000-06-30,False,2000 Canada National Championship,http://web.archive.org/web/20130511072638/http://www.wizards.com/sideboard/article.asp?x=CANNAT00/welcome,national,mixed
l8ugp31t,Croft,Michael,35892,9,17,Lost 1-2,natca00,1500.08,1482.47,ryr6e6vq,"Budzinski, Gerald",1521.43,,2000-06-30,False,2000 Canada National Championship,http://web.archive.org/web/20130511072638/http://www.wizards.com/sideboard/article.asp?x=CANNAT00/welcome,national,mixed
l8ugp31t,Croft,Michael,35917,10,18,Lost 1-2,natca00,1482.47,1464.64,pxsc44zg,"Kelley, Nathan",1491.62,,2000-06-30,False,2000 Canada National Championship,http://web.archive.org/web/20130511072638/http://www.wizards.com/sideboard/article.asp?x=CANNAT00/welcome,national,mixed
l8ugp31t,Croft,Michael,54067,1,82,Won 2-0,ptchi00,1464.64,1483.28,7hwhfn90,"Kuo, Tzu-Ching",1500.0,8.0,2000-12-01,True,Pro Tour Chicago 2000,http://web.archive.org/web/20130707135528/http://www.wizards.com/sideboard/event.asp?event=ptchi00,pt,INV standard
l8ugp31t,Croft,Michael,54197,2,47,Won 2-0,ptchi00,1483.28,1502.53,8ucxebc6,"Kambourakis, Joseph",1551.67,8.0,2000-12-01,True,Pro Tour Chicago 2000,http://web.archive.org/web/20130707135528/http://www.wizards.com/sideboard/event.asp?event=ptchi00,pt,INV standard
l8ugp31t,Croft,Michael,54340,3,25,Won 2-0,ptchi00,1502.53,1526.32,w53abt0c,"Clegg, Daniel",1831.55,8.0,2000-12-01,True,Pro Tour Chicago 2000,http://web.archive.org/web/20130707135528/http://www.wizards.com/sideboard/event.asp?event=ptchi00,pt,INV standard
l8ugp31t,Croft,Michael,54485,4,5,Won 2-0,ptchi00,1526.32,1546.44,9l2bolja,"Borer, Terry",1643.14,8.0,2000-12-01,True,Pro Tour Chicago 2000,http://web.archive.org/web/20130707135528/http://www.wizards.com/sideboard/event.asp?event=ptchi00,pt,INV standard
l8ugp31t,Croft,Michael,54639,5,2,Lost 1-2,ptchi00,1546.44,1528.17,gbgobxu4,"Onoda, Michihisa",1531.61,8.0,2000-12-01,True,Pro Tour Chicago 2000,http://web.archive.org/web/20130707135528/http://www.wizards.com/sideboard/event.asp?event=ptchi00,pt,INV standard
l8ugp31t,Croft,Michael,54794,6,12,Lost 1-2,ptchi00,1528.17,1514.54,j0ytuxye,"Turning, Travis",1772.74,8.0,2000-12-01,True,Pro Tour Chicago 2000,http://web.archive.org/web/20130707135528/http://www.wizards.com/sideboard/event.asp?event=ptchi00,pt,INV standard
l8ugp31t,Croft,Michael,54953,7,44,ID,ptchi00,1514.54,1514.54,cz7pl5es,"Ho, Ken",1631.69,8.0,2000-12-01,True,Pro Tour Chicago 2000,http://web.archive.org/web/20130707135528/http://www.wizards.com/sideboard/event.asp?event=ptchi00,pt,INV standard
