Id,name,money,nationality,teams
max-milechman,Max Milechman,0,United States of America,empty
william-grogan,William Grogan,0,empty,empty
joonas-eloranta,Joonas Eloranta,0,Finland,empty
giovanni-navarra,Giovanni Navarra,0,Italy,empty
love-janse,Love Janse,0,Sweden,empty
yu-cheng--xu-,堉程 徐,0,empty,empty
conn-desax,Conn Desax,0,Sweden,empty
toni-ramis-pascual,Toni Ramis Pascual,0,Spain,empty
tamas-glied,Tamás Glied,0,Hungary,empty
sijing-you,Sijing You,0,empty,empty
christian-greciano,Christian Greciano,0,empty,empty
andre-santos,André Santos,0,Portugal,empty
ryan-condon,Ryan Condon,0,United States of America,empty
jesse-hampton,Jesse Hampton,0,United States of America,empty
david-inglis,David Inglis,0,England,empty
arne-huschenbeth,Arne Huschenbeth,0,Germany,"[{'season': 2017, 'team': 'Cardmarket'}, {'season': 2018, 'team': 'Phoenix: New Dawn'}]"
kouhei-komiyama,Kouhei Komiyama,0,Japan,empty
simonas-gerve,Simonas Gervé,0,Lithuania,empty
muhan-yu,Muhan Yu,0,China,empty
brett-shears,Brett Shears,0,United States of America,empty
karthik-manohar,Karthik Manohar,0,United States of America,empty
jian-cheng-zhong,Jian Cheng Zhong,0,empty,empty
bernardo-torres,Bernardo Torres,0,Portugal,empty
ethan-saks,Ethan Saks,0,United States of America,empty
akio-matsuaki,Akio Matsuaki,0,empty,empty
daniel-soares,Daniel Soares,0,empty,empty
randolph-turkington,Randolph Turkington,0,empty,empty
raphael-levy,Raphael Levy,0,France,"[{'season': 2016, 'team': 'Top Level'}, {'season': 2018, 'team': 'Hareruya Axe'}]"
marvin-chiong,Marvin Chiong,0,Philippines,empty
teun-visser,Teun Visser,0,empty,empty
keith-rockwood,Keith Rockwood,0,empty,empty
adam-edelson,Adam Edelson,0,United States of America,empty
kenny-oberg,Kenny Öberg,0,Sweden,empty
gerardo-duarte,Gerardo Duarte,0,empty,empty
marko-kosovic,Marko Kosovic,0,empty,empty
leo-woiceshyn,Leo Woiceshyn,0,empty,empty
andrea-rizzi,Andrea Rizzi,0,Italy,empty
damian-cohen,Damian Cohen,0,empty,empty
nino-anderluh,Nino Anderluh,0,empty,empty
satoshi-hashimoto,Satoshi Hashimoto,0,empty,empty
wouter-noordzij,Wouter Noordzij,0,Netherlands,empty
logan-nettles,Logan Nettles,0,United States of America,"[{'season': 2018, 'team': 'KMC-Genesis'}]"
brandon-hersh,Brandon Hersh,0,Canada,empty
koki-kondo,Koki Kondo,0,Japan,empty
eduardo-sajgalik,Eduardo Sajgalik,0,Canada,"[{'season': 2016, 'team': 'MTG Mint Card'}, {'season': 2017, 'team': 'MTG Mint Card'}]"
yutaka-miyagishi,Yutaka Miyagishi,0,empty,empty
isamu-itou,Isamu Itou,0,empty,empty
mirko-gschwindt,Mirko Gschwindt,0,Germany,empty
