Source,Target,relation,money,team
marc-tobiasch,regional-championship-lille-2024,TopFinish,20000,
sergio-gimenez,regional-championship-lille-2024,TopFinish,12000,
lorenzo-terlizzi,regional-championship-lille-2024,TopFinish,7500,
stefan-schutz,regional-championship-lille-2024,TopFinish,7500,
max-penzkofer,regional-championship-lille-2024,TopFinish,5000,
andrea-mengucci,regional-championship-lille-2024,TopFinish,5000,
gerardo-d-elia,regional-championship-lille-2024,TopFinish,5000,
denny-weinhardt,regional-championship-lille-2024,TopFinish,5000,
james-moore,regional-championship-sydney-2024,TopFinish,5000,
luke-mulcahy,regional-championship-sydney-2024,TopFinish,2500,
matthew-giudes,regional-championship-sydney-2024,TopFinish,1250,
andrew-drake,regional-championship-sydney-2024,TopFinish,1250,
matthew-dewitte,regional-championship-sydney-2024,TopFinish,750,
kieran-tierney,regional-championship-sydney-2024,TopFinish,750,
james-wilks,regional-championship-sydney-2024,TopFinish,750,
connor-mcgillivray,regional-championship-sydney-2024,TopFinish,750,
adam-schwartz,regional-championship-santiago-3-2024,TopFinish,4000,
hernan-lobos-valenzuela,regional-championship-santiago-3-2024,TopFinish,2000,
marcelo-lopez-lagos,regional-championship-santiago-3-2024,TopFinish,1200,
matias-leveratto,regional-championship-santiago-3-2024,TopFinish,1200,
martin-dominguez,regional-championship-santiago-3-2024,TopFinish,750,
andres-cifuentes,regional-championship-santiago-3-2024,TopFinish,750,
carlos-vargas,regional-championship-santiago-3-2024,TopFinish,750,
jose-ignacio-fernandez-rico,regional-championship-santiago-3-2024,TopFinish,750,
chun-him-to,regional-championship-shanghai-2024,TopFinish,5000,
yang-shen,regional-championship-shanghai-2024,TopFinish,2500,
yuchen-liu,regional-championship-shanghai-2024,TopFinish,1250,
jun-li,regional-championship-shanghai-2024,TopFinish,1250,
wenbo-li,regional-championship-shanghai-2024,TopFinish,1000,
gongxv-lee,regional-championship-shanghai-2024,TopFinish,1000,
han-bing,regional-championship-shanghai-2024,TopFinish,1000,
fu-yu,regional-championship-shanghai-2024,TopFinish,1000,
javier-dominguez,world-championships-2024,TopFinish,100000,
marcio-carvalho,world-championships-2024,TopFinish,50000,
seth-manfield,world-championships-2024,TopFinish,25000,
quinn-tonole,world-championships-2024,TopFinish,25000,
hoang-ha-pham,world-championships-2024,TopFinish,20000,
yoshihiko-ikawa,world-championships-2024,TopFinish,20000,
max-rappaport,world-championships-2024,TopFinish,20000,
kai-budde,world-championships-2024,TopFinish,20000,
szu-yuan-chen,regional-championship-taipei-city-3-2024,TopFinish,1200,
fei-li-chen,regional-championship-taipei-city-3-2024,TopFinish,800,
kenglun-yeh,regional-championship-taipei-city-3-2024,TopFinish,500,
tomas-krupicka,regional-championship-taipei-city-3-2024,TopFinish,500,
chenghsun-lin,regional-championship-taipei-city-3-2024,TopFinish,300,
hsu-shengchuan,regional-championship-taipei-city-3-2024,TopFinish,300,
hong-yu-chen,regional-championship-taipei-city-3-2024,TopFinish,300,
lee-shi-tian,regional-championship-taipei-city-3-2024,TopFinish,300,
shigeki-takan,eternal-championships-legacy-asia-2024,TopFinish,0,
yidong-wang,eternal-championships-legacy-asia-2024,TopFinish,0,
kentarou-tachibana,eternal-championships-legacy-asia-2024,TopFinish,0,
ronomjr,eternal-championships-legacy-asia-2024,TopFinish,0,
takuya-iwasaki,eternal-championships-legacy-asia-2024,TopFinish,0,
joseph-ricci,eternal-championships-legacy-asia-2024,TopFinish,0,
endoh-hiroki,eternal-championships-legacy-asia-2024,TopFinish,0,
rodrigo-togores,eternal-championships-legacy-asia-2024,TopFinish,0,
tomoaki-ogasawara,regional-championship-shizuoka-2024,TopFinish,4000,
tatsuro-asano,regional-championship-shizuoka-2024,TopFinish,2400,
sho-kamezaki,regional-championship-shizuoka-2024,TopFinish,2000,
hiroki-nakahara,regional-championship-shizuoka-2024,TopFinish,2000,
hiroki-toyota,regional-championship-shizuoka-2024,TopFinish,1400,
soichiro-kohara,regional-championship-shizuoka-2024,TopFinish,1400,
taichi-morikawa,regional-championship-shizuoka-2024,TopFinish,1400,
akinari-shimokawabe,regional-championship-shizuoka-2024,TopFinish,1400,
albert-budisanjaya,regional-championship-singapore-2024,TopFinish,4500,
justin-chin,regional-championship-singapore-2024,TopFinish,2300,
andrea-daniele-lorenzini,regional-championship-singapore-2024,TopFinish,1100,
tyng-wei-tan,regional-championship-singapore-2024,TopFinish,1100,
allan-fong,regional-championship-singapore-2024,TopFinish,500,
danny-seet,regional-championship-singapore-2024,TopFinish,500,
ronald-joshua-yu,regional-championship-singapore-2024,TopFinish,500,
jason-loh,regional-championship-singapore-2024,TopFinish,500,
cory-lack,regional-championship-washington-d-c-2024,TopFinish,20000,
connor-mackenzie,regional-championship-washington-d-c-2024,TopFinish,10000,
soohwang-yeem,regional-championship-washington-d-c-2024,TopFinish,8000,
eric-gray,regional-championship-washington-d-c-2024,TopFinish,8000,
ian-robb,regional-championship-washington-d-c-2024,TopFinish,4000,
zevin-faust,regional-championship-washington-d-c-2024,TopFinish,4000,
omri-goldenberg,regional-championship-washington-d-c-2024,TopFinish,4000,
